0.01 0.02 0.02 0.04 0.07 0.11 0.18 
0.05 0.08 0.11 0.17 0.26 0.44 0.75 
0.03 0.04 0.06 0.10 0.15 0.27 0.43 
0.04 0.06 0.09 0.15 0.23 0.38 0.63 
0.02 0.03 0.04 0.07 0.11 0.18 0.28 
0.06 0.11 0.17 0.26 0.41 0.62 1.17 
0.03 0.05 0.08 0.12 0.18 0.31 0.51 
0.07 0.12 0.18 0.26 0.40 0.62 1.13 
0.04 0.07 0.10 0.15 0.22 0.39 0.67 
0.03 0.05 0.07 0.11 0.17 0.29 0.47 
0.10 0.15 0.21 0.31 0.45 0.72 1.33 
0.04 0.07 0.11 0.18 0.30 0.47 0.70 
0.10 0.17 0.24 0.37 0.56 0.82 1.55 
0.06 0.08 0.12 0.20 0.31 0.50 0.82 
0.05 0.07 0.10 0.16 0.24 0.41 0.72 
0.13 0.22 0.30 0.44 0.64 0.92 1.80 
